

==========Samples: (1000, 500, 500) ===========

... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost -306.118968964
Pre-training layer 0, epoch 0, representative training free energy -94.948331028
Pre-training layer 0, epoch 0, validation free energy -91.6698328056
Pre-training layer 0, epoch 1, cost -209.237351227
Pre-training layer 0, epoch 2, cost -183.73600174
Pre-training layer 0, epoch 3, cost -168.861264343
Pre-training layer 0, epoch 4, cost -159.320395203
Pre-training layer 0, epoch 5, cost -152.274701767
Pre-training layer 0, epoch 5, representative training free energy -95.7890891838
Pre-training layer 0, epoch 5, validation free energy -90.5074781799
Pre-training layer 0, epoch 6, cost -147.16251442
Pre-training layer 0, epoch 7, cost -143.374065323
Pre-training layer 0, epoch 8, cost -139.931088181
Pre-training layer 0, epoch 9, cost -137.238509674
Pre-training layer 0, epoch 10, cost -134.84785553
Pre-training layer 0, epoch 10, representative training free energy -107.413164482
Pre-training layer 0, epoch 10, validation free energy -99.865845932
Pre-training layer 0, epoch 11, cost -132.87267807
Pre-training layer 0, epoch 12, cost -130.948591614
Pre-training layer 0, epoch 13, cost -129.362852707
Pre-training layer 0, epoch 14, cost -127.633961487
Pre-training layer 0, epoch 15, cost -126.146229935
Pre-training layer 0, epoch 15, representative training free energy -117.576114609
Pre-training layer 0, epoch 15, validation free energy -108.279721909
Pre-training layer 0, epoch 16, cost -125.042062759
Pre-training layer 0, epoch 17, cost -123.935640564
Pre-training layer 0, epoch 18, cost -122.887302399
Pre-training layer 0, epoch 19, cost -121.661741104
Pre-training layer 0, epoch 20, cost -120.728783112
Pre-training layer 0, epoch 20, representative training free energy -125.362000694
Pre-training layer 0, epoch 20, validation free energy -114.982753365
Pre-training layer 0, epoch 21, cost -119.779194794
Pre-training layer 0, epoch 22, cost -119.115281296
Pre-training layer 0, epoch 23, cost -118.280179825
Pre-training layer 0, epoch 24, cost -117.495959778
Pre-training layer 0, epoch 25, cost -116.627950745
Pre-training layer 0, epoch 25, representative training free energy -132.028873169
Pre-training layer 0, epoch 25, validation free energy -121.187177147
Pre-training layer 0, epoch 26, cost -115.80110321
Pre-training layer 0, epoch 27, cost -115.378681183
Pre-training layer 0, epoch 28, cost -114.631434708
Pre-training layer 0, epoch 29, cost -113.918031693
Pre-training layer 0, epoch 30, cost -113.508330154
Pre-training layer 0, epoch 30, representative training free energy -138.243125832
Pre-training layer 0, epoch 30, validation free energy -126.597797874
Pre-training layer 0, epoch 31, cost -113.041969452
Pre-training layer 0, epoch 32, cost -112.397437057
Pre-training layer 0, epoch 33, cost -111.860726395
Pre-training layer 0, epoch 34, cost -111.328308792
Pre-training layer 0, epoch 35, cost -110.911878204
Pre-training layer 0, epoch 35, representative training free energy -143.439004768
Pre-training layer 0, epoch 35, validation free energy -131.515994789
Pre-training layer 0, epoch 36, cost -110.635660248
Pre-training layer 0, epoch 37, cost -109.941217041
Pre-training layer 0, epoch 38, cost -109.58313942
Pre-training layer 0, epoch 39, cost -109.116319733
Pre-training layer 0, epoch 40, cost -108.649293213
Pre-training layer 0, epoch 40, representative training free energy -148.237071083
Pre-training layer 0, epoch 40, validation free energy -135.521796082
Pre-training layer 0, epoch 41, cost -108.281566772
Pre-training layer 0, epoch 42, cost -107.899749069
Pre-training layer 0, epoch 43, cost -107.735391998
Pre-training layer 0, epoch 44, cost -107.343701553
Pre-training layer 0, epoch 45, cost -106.794767914
Pre-training layer 0, epoch 45, representative training free energy -152.238877083
Pre-training layer 0, epoch 45, validation free energy -139.053190544
Pre-training layer 0, epoch 46, cost -106.489494934
Pre-training layer 0, epoch 47, cost -106.144172287
Pre-training layer 0, epoch 48, cost -105.831702118
Pre-training layer 0, epoch 49, cost -105.409950409
Pre-training layer 0, epoch 50, cost -105.113884659
Pre-training layer 0, epoch 50, representative training free energy -157.115305092
Pre-training layer 0, epoch 50, validation free energy -143.231619743
Pre-training layer 0, epoch 51, cost -105.022235184
Pre-training layer 0, epoch 52, cost -104.535948029
Pre-training layer 0, epoch 53, cost -104.208871078
Pre-training layer 0, epoch 54, cost -103.835024872
Pre-training layer 0, epoch 55, cost -103.878066559
Pre-training layer 0, epoch 55, representative training free energy -161.917599884
Pre-training layer 0, epoch 55, validation free energy -147.955940964
Pre-training layer 0, epoch 56, cost -103.75604454
Pre-training layer 0, epoch 57, cost -103.334325943
Pre-training layer 0, epoch 58, cost -102.933985214
Pre-training layer 0, epoch 59, cost -102.734410934
Pre-training layer 0, epoch 60, cost -102.357059174
Pre-training layer 0, epoch 60, representative training free energy -163.954624268
Pre-training layer 0, epoch 60, validation free energy -149.111716797
Pre-training layer 0, epoch 61, cost -102.343921509
Pre-training layer 0, epoch 62, cost -102.011783981
Pre-training layer 0, epoch 63, cost -101.769705429
Pre-training layer 0, epoch 64, cost -101.377434082
Pre-training layer 0, epoch 65, cost -101.148646164
Pre-training layer 0, epoch 65, representative training free energy -167.780468582
Pre-training layer 0, epoch 65, validation free energy -152.615101913
Pre-training layer 0, epoch 66, cost -101.200573044
Pre-training layer 0, epoch 67, cost -100.80009552
Pre-training layer 0, epoch 68, cost -100.790532684
Pre-training layer 0, epoch 69, cost -100.377860641
Pre-training layer 0, epoch 70, cost -100.013544235
Pre-training layer 0, epoch 70, representative training free energy -169.585069885
Pre-training layer 0, epoch 70, validation free energy -154.401071716
Pre-training layer 0, epoch 71, cost -99.9225267029
Pre-training layer 0, epoch 72, cost -99.8387898254
Pre-training layer 0, epoch 73, cost -99.4946503448
Pre-training layer 0, epoch 74, cost -99.4152870941
Pre-training layer 0, epoch 75, cost -99.1965725708
Pre-training layer 0, epoch 75, representative training free energy -173.222131836
Pre-training layer 0, epoch 75, validation free energy -157.534507446
Pre-training layer 0, epoch 76, cost -99.0319287872
Pre-training layer 0, epoch 77, cost -98.9121643829
Pre-training layer 0, epoch 78, cost -98.5132639313
Pre-training layer 0, epoch 79, cost -98.5350077057
Pre-training layer 0, epoch 80, cost -98.4030216217
Pre-training layer 0, epoch 80, representative training free energy -176.176884857
Pre-training layer 0, epoch 80, validation free energy -160.207625061
Pre-training layer 0, epoch 81, cost -98.0862546539
Pre-training layer 0, epoch 82, cost -97.8188750458
Pre-training layer 0, epoch 83, cost -97.8021688843
Pre-training layer 0, epoch 84, cost -97.7237381744
Pre-training layer 0, epoch 85, cost -97.5833731842
Pre-training layer 0, epoch 85, representative training free energy -179.451960754
Pre-training layer 0, epoch 85, validation free energy -163.068342743
Pre-training layer 0, epoch 86, cost -97.3756916809
Pre-training layer 0, epoch 87, cost -97.0469129944
Pre-training layer 0, epoch 88, cost -97.0403659058
Pre-training layer 0, epoch 89, cost -97.0624217987
Pre-training layer 0, epoch 90, cost -96.8831820679
Pre-training layer 0, epoch 90, representative training free energy -182.140675079
Pre-training layer 0, epoch 90, validation free energy -165.563775986
Pre-training layer 0, epoch 91, cost -96.4944287872
Pre-training layer 0, epoch 92, cost -96.4150578308
Pre-training layer 0, epoch 93, cost -96.490375061
Pre-training layer 0, epoch 94, cost -96.1818847656
Pre-training layer 0, epoch 95, cost -96.0505471039
Pre-training layer 0, epoch 95, representative training free energy -184.560254868
