_______RUN: 0

==========Hidden Layer: [500, 500, 2000] ===========

... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost -161.487362442
Pre-training layer 0, epoch 0, representative training free energy -293.669317123
Pre-training layer 0, epoch 0, validation free energy -292.730381531
Pre-training layer 0, epoch 1, cost -121.717827396
Pre-training layer 0, epoch 2, cost -111.637525578
Pre-training layer 0, epoch 3, cost -105.99839035
Pre-training layer 0, epoch 4, cost -102.151559734
Pre-training layer 0, epoch 5, cost -99.2623581505
Pre-training layer 0, epoch 5, representative training free energy -304.193593201
Pre-training layer 0, epoch 5, validation free energy -299.796162781
Pre-training layer 0, epoch 6, cost -96.9676443291
Pre-training layer 0, epoch 7, cost -94.9875452995
Pre-training layer 0, epoch 8, cost -93.5768261909
Pre-training layer 0, epoch 9, cost -92.2820345306
Pre-training layer 0, epoch 10, cost -91.0959902191
Pre-training layer 0, epoch 10, representative training free energy -313.421392731
Pre-training layer 0, epoch 10, validation free energy -308.536552139
Pre-training layer 0, epoch 11, cost -90.0761746597
Pre-training layer 0, epoch 12, cost -89.1706557465
Pre-training layer 0, epoch 13, cost -88.3698942375
Pre-training layer 0, epoch 14, cost -87.7051463699
Pre-training layer 0, epoch 15, cost -86.9906181431
Pre-training layer 0, epoch 15, representative training free energy -319.334581985
Pre-training layer 0, epoch 15, validation free energy -313.818484848
Pre-training layer 0, epoch 16, cost -86.3253935719
Pre-training layer 0, epoch 17, cost -85.6996064186
Pre-training layer 0, epoch 18, cost -85.1243648624
Pre-training layer 0, epoch 19, cost -84.7615341091
Pre-training layer 0, epoch 20, cost -84.3190751743
Pre-training layer 0, epoch 20, representative training free energy -325.663179764
Pre-training layer 0, epoch 20, validation free energy -320.037252243
Pre-training layer 0, epoch 21, cost -83.8226841068
Pre-training layer 0, epoch 22, cost -83.4340417576
Pre-training layer 0, epoch 23, cost -83.0401976395
Pre-training layer 0, epoch 24, cost -82.6840004349
Pre-training layer 0, epoch 25, cost -82.3243336487
Pre-training layer 0, epoch 25, representative training free energy -332.395360809
Pre-training layer 0, epoch 25, validation free energy -326.253345764
Pre-training layer 0, epoch 26, cost -82.1115872478
Pre-training layer 0, epoch 27, cost -81.851929493
Pre-training layer 0, epoch 28, cost -81.3688786793
Pre-training layer 0, epoch 29, cost -81.1833951092
Pre-training layer 0, epoch 30, cost -80.9868553925
Pre-training layer 0, epoch 30, representative training free energy -332.518797928
Pre-training layer 0, epoch 30, validation free energy -326.610972916
Pre-training layer 0, epoch 31, cost -80.6834232044
Pre-training layer 0, epoch 32, cost -80.3376308441
Pre-training layer 0, epoch 33, cost -80.1762184715
Pre-training layer 0, epoch 34, cost -80.0188556385
Pre-training layer 0, epoch 35, cost -79.7509563541
Pre-training layer 0, epoch 35, representative training free energy -340.60781015
Pre-training layer 0, epoch 35, validation free energy -333.784024597
Pre-training layer 0, epoch 36, cost -79.5411909008
Pre-training layer 0, epoch 37, cost -79.2995934105
Pre-training layer 0, epoch 38, cost -79.1080910587
Pre-training layer 0, epoch 39, cost -78.9231385136
Pre-training layer 0, epoch 40, cost -78.6922374821
Pre-training layer 0, epoch 40, representative training free energy -345.125497391
Pre-training layer 0, epoch 40, validation free energy -338.061162308
Pre-training layer 0, epoch 41, cost -78.723797493
Pre-training layer 0, epoch 42, cost -78.4024329281
Pre-training layer 0, epoch 43, cost -78.2308156204
Pre-training layer 0, epoch 44, cost -78.0315621758
Pre-training layer 0, epoch 45, cost -77.9763812923
Pre-training layer 0, epoch 45, representative training free energy -348.366420929
Pre-training layer 0, epoch 45, validation free energy -340.759545502
Pre-training layer 0, epoch 46, cost -77.8883736134
Pre-training layer 0, epoch 47, cost -77.5534806347
Pre-training layer 0, epoch 48, cost -77.4565450573
Pre-training layer 0, epoch 49, cost -77.3500568008
Pre-training layer 0, epoch 50, cost -77.2405246353
Pre-training layer 0, epoch 50, representative training free energy -351.303489441
Pre-training layer 0, epoch 50, validation free energy -344.318480438
Pre-training layer 0, epoch 51, cost -77.1544971561
Pre-training layer 0, epoch 52, cost -76.9067477512
Pre-training layer 0, epoch 53, cost -76.8754453373
Pre-training layer 0, epoch 54, cost -76.7540450573
Pre-training layer 0, epoch 55, cost -76.6364516544
Pre-training layer 0, epoch 55, representative training free energy -355.002762817
Pre-training layer 0, epoch 55, validation free energy -347.037455444
Pre-training layer 0, epoch 56, cost -76.6075906277
Pre-training layer 0, epoch 57, cost -76.48315732
Pre-training layer 0, epoch 58, cost -76.2514813232
Pre-training layer 0, epoch 59, cost -76.2730139923
Pre-training layer 0, epoch 60, cost -76.1271014118
Pre-training layer 0, epoch 60, representative training free energy -358.689845093
Pre-training layer 0, epoch 60, validation free energy -350.984236679
Pre-training layer 0, epoch 61, cost -75.8530054474
Pre-training layer 0, epoch 62, cost -75.8902064896
Pre-training layer 0, epoch 63, cost -75.7537753105
Pre-training layer 0, epoch 64, cost -75.6991677952
Pre-training layer 0, epoch 65, cost -75.6360359001
Pre-training layer 0, epoch 65, representative training free energy -360.057433929
Pre-training layer 0, epoch 65, validation free energy -352.263358612
Pre-training layer 0, epoch 66, cost -75.5706326675
Pre-training layer 0, epoch 67, cost -75.5212371922
Pre-training layer 0, epoch 68, cost -75.2209411716
Pre-training layer 0, epoch 69, cost -75.2020099545
Pre-training layer 0, epoch 70, cost -75.1763635731
Pre-training layer 0, epoch 70, representative training free energy -359.623728516
Pre-training layer 0, epoch 70, validation free energy -350.877874542
Pre-training layer 0, epoch 71, cost -75.0233387756
Pre-training layer 0, epoch 72, cost -74.9744768715
Pre-training layer 0, epoch 73, cost -74.9614481735
Pre-training layer 0, epoch 74, cost -74.8959879017
Pre-training layer 0, epoch 75, cost -74.837291975
Pre-training layer 0, epoch 75, representative training free energy -363.503469635
Pre-training layer 0, epoch 75, validation free energy -355.140031876
Pre-training layer 0, epoch 76, cost -74.7667397785
Pre-training layer 0, epoch 77, cost -74.6090965176
Pre-training layer 0, epoch 78, cost -74.5279966354
Pre-training layer 0, epoch 79, cost -74.4494920158
Pre-training layer 0, epoch 80, cost -74.4251121426
Pre-training layer 0, epoch 80, representative training free energy -366.939875275
Pre-training layer 0, epoch 80, validation free energy -358.281493927
Pre-training layer 0, epoch 81, cost -74.379978466
Pre-training layer 0, epoch 82, cost -74.194573946
Pre-training layer 0, epoch 83, cost -74.2677515984
Pre-training layer 0, epoch 84, cost -74.1483394909
Pre-training layer 0, epoch 85, cost -74.0018728352
Pre-training layer 0, epoch 85, representative training free energy -368.818353088
Pre-training layer 0, epoch 85, validation free energy -360.267265961
Pre-training layer 0, epoch 86, cost -74.0374380493
Pre-training layer 0, epoch 87, cost -73.9426501274
Pre-training layer 0, epoch 88, cost -73.9081062984
Pre-training layer 0, epoch 89, cost -73.8524229527
Pre-training layer 0, epoch 90, cost -73.9032085037
Pre-training layer 0, epoch 90, representative training free energy -369.187087158
Pre-training layer 0, epoch 90, validation free energy -359.858391113
Pre-training layer 0, epoch 91, cost -73.8023077106
Pre-training layer 0, epoch 92, cost -73.6946532059
Pre-training layer 0, epoch 93, cost -73.640770731
Pre-training layer 0, epoch 94, cost -73.4903134441
