_______RUN: 0

==========Sample Size: (1000, 1000, 1000) ===========

... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost -183.294465637
Pre-training layer 0, epoch 0, representative training free energy -591.15681604
Pre-training layer 0, epoch 0, validation free energy -585.093156311
Pre-training layer 0, epoch 1, cost -135.548593674
Pre-training layer 0, epoch 2, cost -123.572870789
Pre-training layer 0, epoch 3, cost -117.239715118
Pre-training layer 0, epoch 4, cost -112.340062714
Pre-training layer 0, epoch 5, cost -108.751370468
Pre-training layer 0, epoch 5, representative training free energy -551.704519226
Pre-training layer 0, epoch 5, validation free energy -540.372630859
Pre-training layer 0, epoch 6, cost -105.840298386
Pre-training layer 0, epoch 7, cost -103.75621994
Pre-training layer 0, epoch 8, cost -101.608204193
Pre-training layer 0, epoch 9, cost -99.8131759644
Pre-training layer 0, epoch 10, cost -98.1350752258
Pre-training layer 0, epoch 10, representative training free energy -539.283068359
Pre-training layer 0, epoch 10, validation free energy -525.825598633
Pre-training layer 0, epoch 11, cost -96.7252108002
Pre-training layer 0, epoch 12, cost -95.983006134
Pre-training layer 0, epoch 13, cost -94.6420584869
Pre-training layer 0, epoch 14, cost -93.6273989868
Pre-training layer 0, epoch 15, cost -92.5961741638
Pre-training layer 0, epoch 15, representative training free energy -523.384526611
Pre-training layer 0, epoch 15, validation free energy -508.585185211
Pre-training layer 0, epoch 16, cost -91.9909427643
Pre-training layer 0, epoch 17, cost -91.1916960907
Pre-training layer 0, epoch 18, cost -90.0715761566
Pre-training layer 0, epoch 19, cost -89.8104351807
Pre-training layer 0, epoch 20, cost -89.0320809174
Pre-training layer 0, epoch 20, representative training free energy -513.45652121
Pre-training layer 0, epoch 20, validation free energy -498.937342926
Pre-training layer 0, epoch 21, cost -88.3093501282
Pre-training layer 0, epoch 22, cost -88.0409989929
Pre-training layer 0, epoch 23, cost -87.3399846649
Pre-training layer 0, epoch 24, cost -86.5859502411
Pre-training layer 0, epoch 25, cost -86.0976335907
Pre-training layer 0, epoch 25, representative training free energy -507.629197357
Pre-training layer 0, epoch 25, validation free energy -492.281501862
Pre-training layer 0, epoch 26, cost -85.862251358
Pre-training layer 0, epoch 27, cost -85.5957439423
Pre-training layer 0, epoch 28, cost -84.9483562469
Pre-training layer 0, epoch 29, cost -84.7342971039
Pre-training layer 0, epoch 30, cost -84.3397279358
Pre-training layer 0, epoch 30, representative training free energy -504.683580719
Pre-training layer 0, epoch 30, validation free energy -489.304388763
Pre-training layer 0, epoch 31, cost -83.9688063812
Pre-training layer 0, epoch 32, cost -83.6076805115
Pre-training layer 0, epoch 33, cost -83.0859212494
Pre-training layer 0, epoch 34, cost -83.181601944
Pre-training layer 0, epoch 35, cost -82.7738764954
Pre-training layer 0, epoch 35, representative training free energy -494.862537415
Pre-training layer 0, epoch 35, validation free energy -478.540001678
Pre-training layer 0, epoch 36, cost -82.5927878571
Pre-training layer 0, epoch 37, cost -82.2733148193
Pre-training layer 0, epoch 38, cost -81.8958409882
Pre-training layer 0, epoch 39, cost -81.2265163422
Pre-training layer 0, epoch 40, cost -81.2216124725
Pre-training layer 0, epoch 40, representative training free energy -494.300906006
Pre-training layer 0, epoch 40, validation free energy -477.427458923
Pre-training layer 0, epoch 41, cost -81.0921664429
Pre-training layer 0, epoch 42, cost -80.8081304169
Pre-training layer 0, epoch 43, cost -80.424368515
Pre-training layer 0, epoch 44, cost -80.6022063446
Pre-training layer 0, epoch 45, cost -80.3186714935
Pre-training layer 0, epoch 45, representative training free energy -486.907764771
Pre-training layer 0, epoch 45, validation free energy -469.247960815
Pre-training layer 0, epoch 46, cost -79.9283296967
Pre-training layer 0, epoch 47, cost -79.7650961304
Pre-training layer 0, epoch 48, cost -79.537158165
Pre-training layer 0, epoch 49, cost -79.2577823639
Pre-training layer 0, epoch 50, cost -78.9689977646
Pre-training layer 0, epoch 50, representative training free energy -483.442022003
Pre-training layer 0, epoch 50, validation free energy -465.631901367
Pre-training layer 0, epoch 51, cost -79.0793318176
Pre-training layer 0, epoch 52, cost -78.5275350571
Pre-training layer 0, epoch 53, cost -78.7538368225
Pre-training layer 0, epoch 54, cost -78.3589726257
Pre-training layer 0, epoch 55, cost -78.3409942627
Pre-training layer 0, epoch 55, representative training free energy -484.070491608
Pre-training layer 0, epoch 55, validation free energy -466.153037689
Pre-training layer 0, epoch 56, cost -78.19936306
Pre-training layer 0, epoch 57, cost -77.8882673264
Pre-training layer 0, epoch 58, cost -77.8221066666
Pre-training layer 0, epoch 59, cost -77.5138929367
Pre-training layer 0, epoch 60, cost -77.4748159027
Pre-training layer 0, epoch 60, representative training free energy -481.248347626
Pre-training layer 0, epoch 60, validation free energy -463.662287048
Pre-training layer 0, epoch 61, cost -77.6070194244
Pre-training layer 0, epoch 62, cost -77.1064697266
Pre-training layer 0, epoch 63, cost -76.9968539429
Pre-training layer 0, epoch 64, cost -76.8690750885
Pre-training layer 0, epoch 65, cost -76.8500053406
Pre-training layer 0, epoch 65, representative training free energy -478.555258057
Pre-training layer 0, epoch 65, validation free energy -460.887737244
Pre-training layer 0, epoch 66, cost -76.67627491
Pre-training layer 0, epoch 67, cost -76.3846632004
Pre-training layer 0, epoch 68, cost -76.3715195084
Pre-training layer 0, epoch 69, cost -76.3435837555
Pre-training layer 0, epoch 70, cost -75.9671339417
Pre-training layer 0, epoch 70, representative training free energy -479.185478271
Pre-training layer 0, epoch 70, validation free energy -459.535897797
Pre-training layer 0, epoch 71, cost -76.0242131805
Pre-training layer 0, epoch 72, cost -75.8499479675
Pre-training layer 0, epoch 73, cost -75.8058516693
Pre-training layer 0, epoch 74, cost -75.5653503418
Pre-training layer 0, epoch 75, cost -75.5903662491
Pre-training layer 0, epoch 75, representative training free energy -480.906902954
Pre-training layer 0, epoch 75, validation free energy -461.570335815
Pre-training layer 0, epoch 76, cost -75.5202305603
Pre-training layer 0, epoch 77, cost -75.336924057
Pre-training layer 0, epoch 78, cost -75.2857286453
Pre-training layer 0, epoch 79, cost -75.0188185501
Pre-training layer 0, epoch 80, cost -74.891957283
Pre-training layer 0, epoch 80, representative training free energy -473.490329132
Pre-training layer 0, epoch 80, validation free energy -454.470503754
Pre-training layer 0, epoch 81, cost -74.719876976
Pre-training layer 0, epoch 82, cost -74.8446763229
Pre-training layer 0, epoch 83, cost -74.5148049545
Pre-training layer 0, epoch 84, cost -74.5685860062
Pre-training layer 0, epoch 85, cost -74.6108133698
Pre-training layer 0, epoch 85, representative training free energy -476.010088287
Pre-training layer 0, epoch 85, validation free energy -456.47984259
Pre-training layer 0, epoch 86, cost -74.5560086441
Pre-training layer 0, epoch 87, cost -74.2392995834
Pre-training layer 0, epoch 88, cost -74.3072944641
Pre-training layer 0, epoch 89, cost -74.075410614
Pre-training layer 0, epoch 90, cost -74.1044192505
Pre-training layer 0, epoch 90, representative training free energy -473.982856781
Pre-training layer 0, epoch 90, validation free energy -453.83431842
Pre-training layer 0, epoch 91, cost -73.9959072113
Pre-training layer 0, epoch 92, cost -73.8545776367
Pre-training layer 0, epoch 93, cost -73.8024755859
Pre-training layer 0, epoch 94, cost -73.760409584
