_______RUN: 0

==========Sample Size: (1000, 1000, 1000) ===========

... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost -159.434438934
Pre-training layer 0, epoch 0, representative training free energy -273.88992131
Pre-training layer 0, epoch 0, validation free energy -259.856083542
Pre-training layer 0, epoch 1, cost -115.301300583
Pre-training layer 0, epoch 2, cost -104.644927292
Pre-training layer 0, epoch 3, cost -98.7445429993
Pre-training layer 0, epoch 4, cost -94.5321572113
Pre-training layer 0, epoch 5, cost -91.5451580811
Pre-training layer 0, epoch 5, representative training free energy -260.35129216
Pre-training layer 0, epoch 5, validation free energy -242.462875496
Pre-training layer 0, epoch 6, cost -89.5217723083
Pre-training layer 0, epoch 7, cost -87.5406285858
Pre-training layer 0, epoch 8, cost -85.6254376221
Pre-training layer 0, epoch 9, cost -84.4315800858
Pre-training layer 0, epoch 10, cost -82.8767795563
Pre-training layer 0, epoch 10, representative training free energy -270.545244736
Pre-training layer 0, epoch 10, validation free energy -248.415390854
Pre-training layer 0, epoch 11, cost -81.758259201
Pre-training layer 0, epoch 12, cost -80.9866159058
Pre-training layer 0, epoch 13, cost -80.124193573
Pre-training layer 0, epoch 14, cost -79.1923695374
Pre-training layer 0, epoch 15, cost -78.7232730865
Pre-training layer 0, epoch 15, representative training free energy -271.237753601
Pre-training layer 0, epoch 15, validation free energy -246.367118973
Pre-training layer 0, epoch 16, cost -77.9678595734
Pre-training layer 0, epoch 17, cost -77.4121094894
Pre-training layer 0, epoch 18, cost -77.1782048416
Pre-training layer 0, epoch 19, cost -75.9470320129
Pre-training layer 0, epoch 20, cost -75.7743684387
Pre-training layer 0, epoch 20, representative training free energy -280.073501236
Pre-training layer 0, epoch 20, validation free energy -253.610189484
Pre-training layer 0, epoch 21, cost -75.1990550995
Pre-training layer 0, epoch 22, cost -74.7768634796
Pre-training layer 0, epoch 23, cost -74.3515660858
Pre-training layer 0, epoch 24, cost -73.9938092041
Pre-training layer 0, epoch 25, cost -73.6914289474
Pre-training layer 0, epoch 25, representative training free energy -279.481823853
Pre-training layer 0, epoch 25, validation free energy -250.47020816
Pre-training layer 0, epoch 26, cost -73.06633564
Pre-training layer 0, epoch 27, cost -73.0571452713
Pre-training layer 0, epoch 28, cost -72.5523379135
Pre-training layer 0, epoch 29, cost -72.4863563919
Pre-training layer 0, epoch 30, cost -72.1214556503
Pre-training layer 0, epoch 30, representative training free energy -283.966449783
Pre-training layer 0, epoch 30, validation free energy -254.001636887
Pre-training layer 0, epoch 31, cost -71.8174743652
Pre-training layer 0, epoch 32, cost -71.5456850052
Pre-training layer 0, epoch 33, cost -71.2105049896
Pre-training layer 0, epoch 34, cost -70.90939785
Pre-training layer 0, epoch 35, cost -70.9074034882
Pre-training layer 0, epoch 35, representative training free energy -282.458798447
Pre-training layer 0, epoch 35, validation free energy -251.877888489
Pre-training layer 0, epoch 36, cost -70.5678136826
Pre-training layer 0, epoch 37, cost -70.4409609222
Pre-training layer 0, epoch 38, cost -70.2858164215
Pre-training layer 0, epoch 39, cost -70.020594635
Pre-training layer 0, epoch 40, cost -69.6838806915
Pre-training layer 0, epoch 40, representative training free energy -287.206981277
Pre-training layer 0, epoch 40, validation free energy -253.778363083
Pre-training layer 0, epoch 41, cost -69.8407123184
Pre-training layer 0, epoch 42, cost -69.5299084091
Pre-training layer 0, epoch 43, cost -69.3425133896
Pre-training layer 0, epoch 44, cost -69.1657710266
Pre-training layer 0, epoch 45, cost -68.8646638107
Pre-training layer 0, epoch 45, representative training free energy -288.810845947
Pre-training layer 0, epoch 45, validation free energy -255.170786804
Pre-training layer 0, epoch 46, cost -68.8369778442
Pre-training layer 0, epoch 47, cost -68.6368372726
Pre-training layer 0, epoch 48, cost -68.3698449707
Pre-training layer 0, epoch 49, cost -68.1775061417
Pre-training layer 0, epoch 50, cost -68.140134964
Pre-training layer 0, epoch 50, representative training free energy -287.121703018
Pre-training layer 0, epoch 50, validation free energy -251.888907822
Pre-training layer 0, epoch 51, cost -68.0747764206
Pre-training layer 0, epoch 52, cost -68.0209872437
Pre-training layer 0, epoch 53, cost -67.7478094482
Pre-training layer 0, epoch 54, cost -67.6923981476
Pre-training layer 0, epoch 55, cost -67.4264242935
Pre-training layer 0, epoch 55, representative training free energy -288.536848892
Pre-training layer 0, epoch 55, validation free energy -253.858874489
Pre-training layer 0, epoch 56, cost -67.620377388
Pre-training layer 0, epoch 57, cost -67.1586737442
Pre-training layer 0, epoch 58, cost -67.1271257019
Pre-training layer 0, epoch 59, cost -67.0345489502
Pre-training layer 0, epoch 60, cost -67.2314860153
Pre-training layer 0, epoch 60, representative training free energy -288.529603653
Pre-training layer 0, epoch 60, validation free energy -252.306971397
Pre-training layer 0, epoch 61, cost -66.8384887314
Pre-training layer 0, epoch 62, cost -66.8594361115
Pre-training layer 0, epoch 63, cost -66.7659824753
Pre-training layer 0, epoch 64, cost -66.6896078873
Pre-training layer 0, epoch 65, cost -66.4348741531
Pre-training layer 0, epoch 65, representative training free energy -291.444521072
Pre-training layer 0, epoch 65, validation free energy -253.713853172
Pre-training layer 0, epoch 66, cost -66.4822157669
Pre-training layer 0, epoch 67, cost -66.26905056
Pre-training layer 0, epoch 68, cost -66.3129442978
Pre-training layer 0, epoch 69, cost -66.0543956757
Pre-training layer 0, epoch 70, cost -66.0052418137
Pre-training layer 0, epoch 70, representative training free energy -290.968628708
Pre-training layer 0, epoch 70, validation free energy -253.291526581
Pre-training layer 0, epoch 71, cost -66.0033516693
Pre-training layer 0, epoch 72, cost -65.7976472473
Pre-training layer 0, epoch 73, cost -65.6936635208
Pre-training layer 0, epoch 74, cost -65.8353898621
Pre-training layer 0, epoch 75, cost -65.7326211166
Pre-training layer 0, epoch 75, representative training free energy -288.892813492
Pre-training layer 0, epoch 75, validation free energy -249.527335457
Pre-training layer 0, epoch 76, cost -65.543460083
Pre-training layer 0, epoch 77, cost -65.3949193573
Pre-training layer 0, epoch 78, cost -65.4939137268
Pre-training layer 0, epoch 79, cost -65.3747097397
Pre-training layer 0, epoch 80, cost -65.2072332001
Pre-training layer 0, epoch 80, representative training free energy -296.807887848
Pre-training layer 0, epoch 80, validation free energy -257.30924057
Pre-training layer 0, epoch 81, cost -65.1248890686
Pre-training layer 0, epoch 82, cost -65.1372506714
Pre-training layer 0, epoch 83, cost -64.9389393616
Pre-training layer 0, epoch 84, cost -64.8952799988
Pre-training layer 0, epoch 85, cost -64.7692591095
Pre-training layer 0, epoch 85, representative training free energy -291.299745667
Pre-training layer 0, epoch 85, validation free energy -251.844690659
Pre-training layer 0, epoch 86, cost -64.8707123566
Pre-training layer 0, epoch 87, cost -64.9374481201
Pre-training layer 0, epoch 88, cost -64.7874858093
Pre-training layer 0, epoch 89, cost -64.5755755234
Pre-training layer 0, epoch 90, cost -64.6878808594
Pre-training layer 0, epoch 90, representative training free energy -292.595427872
Pre-training layer 0, epoch 90, validation free energy -252.709660744
Pre-training layer 0, epoch 91, cost -64.4930085373
Pre-training layer 0, epoch 92, cost -64.5319729614
Pre-training layer 0, epoch 93, cost -64.4322787857
Pre-training layer 0, epoch 94, cost -64.3235879135
