_______RUN: 0

==========Layers: [1000, 1000, 1000] ===========

... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost -90.4275463341
Pre-training layer 0, epoch 0, representative training free energy -320.648506337
Pre-training layer 0, epoch 0, validation free energy -320.712956712
Pre-training layer 0, epoch 1, cost -79.9979994888
Pre-training layer 0, epoch 2, cost -77.6323383354
Pre-training layer 0, epoch 3, cost -76.2421959625
Pre-training layer 0, epoch 4, cost -75.3239146599
Pre-training layer 0, epoch 5, cost -74.5614020988
Pre-training layer 0, epoch 5, representative training free energy -279.685182861
Pre-training layer 0, epoch 5, validation free energy -279.056191711
Pre-training layer 0, epoch 6, cost -74.0065968475
Pre-training layer 0, epoch 7, cost -73.5309356712
Pre-training layer 0, epoch 8, cost -73.1205718468
Pre-training layer 0, epoch 9, cost -72.7407205727
Pre-training layer 0, epoch 10, cost -72.4669330963
Pre-training layer 0, epoch 10, representative training free energy -248.696069482
Pre-training layer 0, epoch 10, validation free energy -247.837858491
Pre-training layer 0, epoch 11, cost -72.2058214409
Pre-training layer 0, epoch 12, cost -71.9703842453
Pre-training layer 0, epoch 13, cost -71.7756789291
Pre-training layer 0, epoch 14, cost -71.582298037
Pre-training layer 0, epoch 15, cost -71.4364764343
Pre-training layer 0, epoch 15, representative training free energy -225.618647668
Pre-training layer 0, epoch 15, validation free energy -224.45208308
Pre-training layer 0, epoch 16, cost -71.3028650978
Pre-training layer 0, epoch 17, cost -71.1816624741
Pre-training layer 0, epoch 18, cost -71.0296576744
Pre-training layer 0, epoch 19, cost -70.9350446602
Pre-training layer 0, epoch 20, cost -70.8163947716
Pre-training layer 0, epoch 20, representative training free energy -212.072881303
Pre-training layer 0, epoch 20, validation free energy -210.708451559
Pre-training layer 0, epoch 21, cost -70.7611605621
Pre-training layer 0, epoch 22, cost -70.6484894516
Pre-training layer 0, epoch 23, cost -70.5799705513
Pre-training layer 0, epoch 24, cost -70.5150560013
Pre-training layer 0, epoch 25, cost -70.4541824913
Pre-training layer 0, epoch 25, representative training free energy -199.351540622
Pre-training layer 0, epoch 25, validation free energy -197.984152375
Pre-training layer 0, epoch 26, cost -70.3647228668
Pre-training layer 0, epoch 27, cost -70.3079834305
Pre-training layer 0, epoch 28, cost -70.2367977654
Pre-training layer 0, epoch 29, cost -70.2094943024
Pre-training layer 0, epoch 30, cost -70.1752055161
Pre-training layer 0, epoch 30, representative training free energy -191.960647194
Pre-training layer 0, epoch 30, validation free energy -190.592578672
Pre-training layer 0, epoch 31, cost -70.0969370621
Pre-training layer 0, epoch 32, cost -70.0619859818
Pre-training layer 0, epoch 33, cost -70.0232976418
Pre-training layer 0, epoch 34, cost -69.9883122269
Pre-training layer 0, epoch 35, cost -69.9634380318
Pre-training layer 0, epoch 35, representative training free energy -183.280894495
Pre-training layer 0, epoch 35, validation free energy -181.657147865
Pre-training layer 0, epoch 36, cost -69.9187245132
Pre-training layer 0, epoch 37, cost -69.8706000694
Pre-training layer 0, epoch 38, cost -69.8667114807
Pre-training layer 0, epoch 39, cost -69.8283802658
Pre-training layer 0, epoch 40, cost -69.7938298958
Pre-training layer 0, epoch 40, representative training free energy -177.467053067
Pre-training layer 0, epoch 40, validation free energy -175.915565945
Pre-training layer 0, epoch 41, cost -69.8042446251
Pre-training layer 0, epoch 42, cost -69.7278539391
Pre-training layer 0, epoch 43, cost -69.6708306656
Pre-training layer 0, epoch 44, cost -69.6858179619
Pre-training layer 0, epoch 45, cost -69.6553963135
Pre-training layer 0, epoch 45, representative training free energy -173.287674051
Pre-training layer 0, epoch 45, validation free energy -171.662733929
Pre-training layer 0, epoch 46, cost -69.6373370903
Pre-training layer 0, epoch 47, cost -69.5966305107
Pre-training layer 0, epoch 48, cost -69.5722559639
Pre-training layer 0, epoch 49, cost -69.5457971634
Pre-training layer 0, epoch 50, cost -69.5700511787
Pre-training layer 0, epoch 50, representative training free energy -168.40544315
Pre-training layer 0, epoch 50, validation free energy -166.689471593
Pre-training layer 0, epoch 51, cost -69.5487092117
Pre-training layer 0, epoch 52, cost -69.5137164047
Pre-training layer 0, epoch 53, cost -69.5066108299
Pre-training layer 0, epoch 54, cost -69.4621139488
Pre-training layer 0, epoch 55, cost -69.4857796783
Pre-training layer 0, epoch 55, representative training free energy -165.1066533
Pre-training layer 0, epoch 55, validation free energy -163.324426259
Pre-training layer 0, epoch 56, cost -69.4523701653
Pre-training layer 0, epoch 57, cost -69.4319311043
Pre-training layer 0, epoch 58, cost -69.4218179359
Pre-training layer 0, epoch 59, cost -69.4085865257
Pre-training layer 0, epoch 60, cost -69.3716708595
Pre-training layer 0, epoch 60, representative training free energy -161.087434979
Pre-training layer 0, epoch 60, validation free energy -159.273427815
Pre-training layer 0, epoch 61, cost -69.3827590248
Pre-training layer 0, epoch 62, cost -69.3772761009
Pre-training layer 0, epoch 63, cost -69.3378593292
Pre-training layer 0, epoch 64, cost -69.3558546295
Pre-training layer 0, epoch 65, cost -69.3314534065
Pre-training layer 0, epoch 65, representative training free energy -159.418324868
Pre-training layer 0, epoch 65, validation free energy -157.711180022
Pre-training layer 0, epoch 66, cost -69.3026055878
Pre-training layer 0, epoch 67, cost -69.3081844437
Pre-training layer 0, epoch 68, cost -69.2734457565
Pre-training layer 0, epoch 69, cost -69.277233403
Pre-training layer 0, epoch 70, cost -69.2753938942
Pre-training layer 0, epoch 70, representative training free energy -156.741928616
Pre-training layer 0, epoch 70, validation free energy -154.672207112
Pre-training layer 0, epoch 71, cost -69.255003878
Pre-training layer 0, epoch 72, cost -69.2305741714
Pre-training layer 0, epoch 73, cost -69.2164045258
Pre-training layer 0, epoch 74, cost -69.2079787376
Pre-training layer 0, epoch 75, cost -69.2117821098
Pre-training layer 0, epoch 75, representative training free energy -155.422024194
Pre-training layer 0, epoch 75, validation free energy -153.557141586
Pre-training layer 0, epoch 76, cost -69.1860630386
Pre-training layer 0, epoch 77, cost -69.2199846291
Pre-training layer 0, epoch 78, cost -69.1875177803
Pre-training layer 0, epoch 79, cost -69.1648889565
Pre-training layer 0, epoch 80, cost -69.140452803
Pre-training layer 0, epoch 80, representative training free energy -152.848679734
Pre-training layer 0, epoch 80, validation free energy -150.859901621
Pre-training layer 0, epoch 81, cost -69.1667525063
Pre-training layer 0, epoch 82, cost -69.1460595299
Pre-training layer 0, epoch 83, cost -69.1449387459
Pre-training layer 0, epoch 84, cost -69.134272924
Pre-training layer 0, epoch 85, cost -69.0901495628
Pre-training layer 0, epoch 85, representative training free energy -152.962857252
Pre-training layer 0, epoch 85, validation free energy -151.055845591
Pre-training layer 0, epoch 86, cost -69.1070191231
Pre-training layer 0, epoch 87, cost -69.1230203018
Pre-training layer 0, epoch 88, cost -69.10767388
Pre-training layer 0, epoch 89, cost -69.0731923149
Pre-training layer 0, epoch 90, cost -69.0733595512
Pre-training layer 0, epoch 90, representative training free energy -152.028992738
Pre-training layer 0, epoch 90, validation free energy -149.999953571
Pre-training layer 0, epoch 91, cost -69.0755822098
Pre-training layer 0, epoch 92, cost -69.0594829742
Pre-training layer 0, epoch 93, cost -69.0542620438
Pre-training layer 0, epoch 94, cost -69.0393624161
